,Template-Matching,Subpixel-Interpolation,Rest zweiter Durchlauf,Interpolation,Gradientenintegration
Experiment 6 Lenses 200 (21 Bildpaare),11.45971974026163,82.09774148450104,5.226070498499429,0.23107144147020722,0.3184760536180295
Experiment 6 Lenses 500 (11 Bildpaare),11.300014838067723,82.3067364409253,5.184769508069962,0.22883360283909496,0.3157534325972337
Experiment 6 Lenses 1500 (14 Bildpaare),11.332402796823379,82.33362211233735,5.121964450949417,0.2263606975588757,0.31825564350738395
Lenses Set 1 (10 Bildpaare),22.14036510804612,50.20102039536436,22.036441292330792,1.073754563532497,4.28465750474638
Lenses Set 2 (5 Bildpaare),22.192331881641646,49.65660230693294,22.50121708861461,1.0992846869761603,4.283432703535551
Lenses Set 3 (1 Bildpaare),22.356398018501935,50.742628379568,21.6794383449136,1.0047378720059605,3.958477044603396
Lenses Set 3 (2 Bildpaare),22.463994593883,50.45156155423051,21.729210055577614,0.9898527942185157,4.103502584759341
