,{/Times:Italic compiled},{/Times:Italic numba},{/Times:Italic cython},{/Times:Italic compiled-advanced}
Lenses 200 (21 Bildpaare),1.01539480117399,0.890160170233604,0.990205321927035,0.995125175365341
Lenses 500 (11 Bildpaare),1.01726195860159,0.886723054065211,0.996919783340776,0.99698383198748
Lenses 1500 (14 Bildpaare),1.01115023858199,0.893692324057918,0.992322311184174,1.00332845843176
