,Detector Distortion (25 Bilder),Experiment 6 Lenses 200 (21 Bildpaare),Experiment 6 Lenses 500 (11 Bildpaare),Experiment 6 Lenses 1500 (14 Bildpaare),Lenses Set 1 (10 Bildpaare),Lenses Set 2 (5 Bildpaare),Lenses Set 3 (1 Bildpaar),Lenses Set 3 (2 Bildpaare)
12,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,0,1.9297474446506357,1.8142856514322294,1.9663450119802022,1.7131541517467133,1.6973891053691177,1.3482526276152038,1.4992786670630187
48,0,3.3985840936764085,3.3487700291338163,4.928476392803558,2.819194439186652,2.6901571247842386,1.6558966181738197,1.9895844881242382
