,Detector Distortion (25 Bilder),Experiment 6 Lenses 200 (21 Bildpaare),Experiment 6 Lenses 500 (11 Bildpaare),Experiment 6 Lenses 1500 (14 Bildpaare),Lenses Set 1 (10 Bildpaare),Lenses Set 2 (5 Bildpaare),Lenses Set 3 (1 Bildpaar),Lenses Set 3 (2 Bildpaare)
12,0.0,38.18223040899048,35.727758130163636,43.19726028442858,64.5541635704,81.8307779694,296.65494322739994,129.7477143764
24,0.0,30.076537277580954,36.10513472556364,31.859695352828574,65.80319086076,81.92551851272,299.78002376560005,133.43750870230002
48,0.0,29.21580565770476,36.226510052236364,32.10445496355714,65.88653687952,82.15768536568,303.994754791,133.6158933163
