,Detector Distortion (25 Bilder),Experiment 6 Lenses 200 (21 Bildpaare),Experiment 6 Lenses 500 (11 Bildpaare),Experiment 6 Lenses 1500 (14 Bildpaare),Lenses Set 1 (10 Bildpaare),Lenses Set 2 (5 Bildpaare),Lenses Set 3 (1 Bildpaar),Lenses Set 3 (2 Bildpaare)
12,0,801.8268385888,393.0053394318,604.7616439820001,645.541635704,409.153889847,296.65494322739994,259.4954287528
24,0,631.6072828292,397.1564819812,446.03573493960005,658.0319086076,409.62759256360005,299.78002376560005,266.87501740460004
48,0,613.5319188118,398.4916105746,449.4623694897999,658.8653687952,410.78842682839996,303.994754791,267.2317866326
