,Detector Distortion (25 Bilder),Experiment 6 Lenses 200 (21 Bildpaare),Experiment 6 Lenses 500 (11 Bildpaare),Experiment 6 Lenses 1500 (14 Bildpaare),Lenses Set 1 (10 Bildpaare),Lenses Set 2 (5 Bildpaare),Lenses Set 3 (1 Bildpaar),Lenses Set 3 (2 Bildpaare)
12,0,8.37239153802905,8.95052376200674,5.82544670136244,7.32968886453283,6.75283267882257,5.18444658394817,6.50971382861928
24,0,16.1566011761262,16.238806834212,11.4548380637806,12.5568869092861,11.462184619414,6.98994372953879,9.75987507193401
48,0,28.4542767071765,29.9732457192582,28.7105765452001,20.6638180878593,18.1661809434104,8.58490756546258,12.9516256555488
