,Detector Distortion (25 Bilder),Experiment 6 Lenses 200 (21 Bildpaare),Experiment 6 Lenses 500 (11 Bildpaare),Experiment 6 Lenses 1500 (14 Bildpaare),Lenses Set 1 (10 Bildpaare),Lenses Set 2 (5 Bildpaare),Lenses Set 3 (1 Bildpaar),Lenses Set 3 (2 Bildpaare)
12,0,14.7005446763855,15.7605486755562,12.9465675596671,19.2825731113685,15.0182921947682,4.41485966994092,9.92645379737691
24,0,18.6623738893573,15.5958169207511,17.553722421744,18.9165656316488,15.000924698192,4.36883661656961,9.65196895983708
48,0,19.2121891330895,15.5435638229298,17.4198954412934,18.8926363054362,14.9585340507052,4.30826494241221,9.63908304698265
