,Detector Distortion (25 Bilder),Experiment 6 Lenses 200 (21 Bildpaare),Experiment 6 Lenses 500 (11 Bildpaare),Experiment 6 Lenses 1500 (14 Bildpaare),Lenses Set 1 (10 Bildpaare),Lenses Set 2 (5 Bildpaare),Lenses Set 3 (1 Bildpaar),Lenses Set 3 (2 Bildpaare)
12,0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
24,0,1.2695022055431728,0.9895478413730221,1.3558591758660188,0.9810187427992215,0.998843577129081,0.9895754210072262,0.9723481473703772
48,0,1.3069032172631905,0.986232404905867,1.3455223062800246,0.9797777607957089,0.9960209760678512,0.9758554664252472,0.9710500087684696
