,Detector Distortion (25 Bilder),Experiment 6 Lenses 200 (21 Bildpaare),Experiment 6 Lenses 500 (11 Bildpaare),Experiment 6 Lenses 1500 (14 Bildpaare),Lenses Set 1 (10 Bildpaare),Lenses Set 2 (5 Bildpaare),Lenses Set 3 (1 Bildpaar),Lenses Set 3 (2 Bildpaare)
12,0,1407.8762573225797,692.02428221694,1344.0321202281602,1698.2581412325999,909.95778551108,252.61904497159998,395.69625515957995
24,0,729.56503257734,381.4307199479,683.5179543973601,991.3049211018603,536.09262757298,187.36773791305998,263.92442169188
48,0,414.25376524952003,206.6502853873,272.70742783523997,602.3912780285399,338.25451202374,152.55725641266,198.88386621501996
