,Experiment 6 Lenses 200 (21 Bildpaare),Experiment 6 Lenses 500 (11 Bildpaare),Experiment 6 Lenses 1500 (14 Bildpaare),Lenses Set 1 (10 Bildpaare),Lenses Set 2 (5 Bildpaare),Lenses Set 3 (1 Bildpaar),Lenses Set 3 (2 Bildpaare)
compiled,1.01539480117399,1.01726195860159,1.01115023858199,1.03557711748221,1.01793436688222,1.01454252528083,1.00764681560757
numba,0.890160170233604,0.886723054065211,0.893692324057918,0.862318491491462,0.890238511546058,0.911491690540867,0.881587042028774
cython,0.990205321927035,0.996919783340776,0.992322311184174,1.01136891813036,0.977208773532372,1.00314360520749,0.980847128450462
compiled-advanced,0.995125175365341,0.99698383198748,1.00332845843176,1.00496710614242,1.00447660361228,1.00018701334172,0.999594759591794
