,Präprozessierschritte,Speckle-Tracking,Gradientenintegration
Lenses 200 (21 Bildpaare),0.124353405071259,99.5571705413107,0.318476053618029
Lenses 500 (11 Bildpaare),0.124160935903859,99.5600856314989,0.315753432597234
Lenses 1500 (14 Bildpaare),0.124003289246603,99.557741067246,0.318255643507384
