,Experiment 6 Lenses 200 (21 Bildpaare),Experiment 6 Lenses 500 (11 Bildpaare),Experiment 6 Lenses 1500 (14 Bildpaare),Lenses Set 1 (10 Bildpaare),Lenses Set 2 (5 Bildpaare),Lenses Set 3 (1 Bildpaar),Lenses Set 3 (2 Bildpaare)
12,0.569529342098338,0.567906863286335,0.449960707694498,0.380119853413724,0.449640517793029,1.17431741245301,0.655794502397169
24,0.865731298274968,1.04122835736841,0.652558915343867,0.663803734451536,0.764098537258538,1.59995539842991,1.01117969945261
48,1.48105333078203,1.92833806073751,1.64814861501077,1.09374984802483,1.21443591209086,1.99266008015187,1.34365744048684
