,Template-Matching,Subpixel-Interpolation,Rest zweiter Durchlauf,Interpolation,Gradientenintegration
Set 1 (10 Bildpaare),22.1403651080461,50.2010203953644,22.0364412923308,1.0737545635325,4.28465750474638
Set 2 (5 Bildpaare),22.1923318816416,49.6566023069329,22.5012170886146,1.09928468697616,4.28343270353555
Set 3 (1 Bildpaar),22.3563980185019,50.742628379568,21.6794383449136,1.00473787200596,3.9584770446034
Set 3 (2 Bildpaare),22.463994593883,50.4515615542305,21.7292100555776,0.989852794218515,4.10350258475934
