,starre Verschiebung,Erster Durchlauf,Interpolation,Zweiter Durchlauf,Fehlerkorrektur
Experiment 6 Lenses 200 (21 Bildpaare),0.186919219856152,0.340595647417341,0.231071441470207,79.7259820011811,19.0725486354846
Experiment 6 Lenses 500 (11 Bildpaare),0.187091660250394,0.337715898131795,0.228833602839095,80.116019329521,18.6903640866025
Experiment 6 Lenses 1500 (14 Bildpaare),0.190373942135178,0.338009956215827,0.226360697558876,80.3141976903713,18.4887454863863
Lenses Set 1 (10 Bildpaare),0.00203168332383,0.044652692591476,1.0737545635325,94.1519892792962,0.327514694491361
Lenses Set 2 (5 Bildpaare),0.002050660521782,0.044689226255314,1.09928468697616,94.3677447594122,0.084159699932047
Lenses Set 3 (1 Bildpaar),0.002089592667005,0.040888642677712,1.00473787200596,85.9129576815306,8.95971840010276
Lenses Set 3 (2 Bildpaare),0.002010882020974,0.04216359999267,0.989852794218515,89.1952767349414,5.54726469089329
