,Template-Matching,Subpixel-Interpolation,Rest zweiter Durchlauf,Interpolation,Gradientenintegration
Experiment 6 Lenses 200 (21 Bildpaare),11.4597197402616,82.0977414845011,5.22607049849943,0.231071441470207,0.318476053618029
Experiment 6 Lenses 500 (11 Bildpaare),11.3000148380677,82.3067364409253,5.18476950806996,0.228833602839095,0.315753432597234
Experiment 6 Lenses 1500 (14 Bildpaare),11.3324027968234,82.3336221123374,5.12196445094942,0.226360697558876,0.318255643507384
Lenses Set 1 (10 Bildpaare),22.1403651080461,50.2010203953644,22.0364412923308,1.0737545635325,4.28465750474638
Lenses Set 2 (5 Bildpaare),22.1923318816416,49.6566023069329,22.5012170886146,1.09928468697616,4.28343270353555
Lenses Set 3 (1 Bildpaar),22.3563980185019,50.742628379568,21.6794383449136,1.00473787200596,3.9584770446034
Lenses Set 3 (2 Bildpaare),22.463994593883,50.4515615542305,21.7292100555776,0.989852794218515,4.10350258475934
