,Total,Startup,File IO,norm_xcorr,nxcorr_disp,frankot_chellappa,g2s,cpCorr,cpCorr matching,crossSpot4 setup,crossSpot4 translation,crossSpot4 match,crossSpot4 interpolation,crossSpot4 second pass preperation,crossSpot4 second pass,crossSpot4 error correction,crossSpot4 finalizing,Loop,Filter,crossSpot4,Correction
detector distortion (25 Bilder),2863.5775714899996,0.19629421236,21.75394015312,3182.6106337080005,8796.539739134,0,0,21386.15765652,3608.94334755,2.84387788772,104.30405120840001,161.9955955506,1434.409492732,0.33410453797999995,1117.1243572219998,0.71288132668,12.475915575040002,2836.712365388,8.020399999999999e-05,2834.4287321559996,1.3204682826999998
Experiment 6 Lenses 200 (21 Bildpaare),3737.757499646,0.06577477458,43.16322350502,3703.329929496,26340.18441444,37.00548520088,0.0,33131.837384,3729.0906386859997,0.24488515853999998,21.226955080019998,39.15718622208,27.84626035692,0.06668682098,1353.018997384,2200.74214554,0.53008356094,3737.691686438,2.7799599999999997e-05,3642.840114784,0.53150463102
Experiment 6 Lenses 500 (11 Bildpaare),1940.7244720459998,0.058993387220000006,22.63312077522,1930.979434298,13882.01450686,19.37675585746,0.0,17430.18773076,1943.2252859100001,0.12944002152,11.3360044956,20.59417772294,14.37418699264,0.03505086902,713.2057421207999,1130.9418416019998,0.27756557462,1940.6654584880002,1.4448179999999999e-05,1890.897966768,0.29205317496000005
Experiment 6 Lenses 1500 (14 Bildpaare),2440.2546435840004,0.06221494674,28.925522851940002,2463.357820272,17509.47044996,24.59615154268,0.0,22050.4894394,2482.313613032,0.16159300804,14.409983825680001,26.0314540863,18.85839104652,0.04350776671999999,902.9381418706,1414.0805044180001,0.35346088408000004,2440.19240365,1.778602e-05,2376.881499148,0.37234649657999996
Lenses Set 1 (10 Bildpaare),2404.562877848,0.05777745246,121.9518319606,6117.89925828,16396.06508256,461.883240843,0.0,38695.289722760004,7485.601246836,0.22574558258000002,0.00021581648,4.845874738699999,120.2989593984,0.50496540068,1646.519942428,31.093811273579995,4.51458420754,2404.505081274,1.358986e-05,1808.085534242,0.29270730018
Lenses Set 2 (5 Bildpaare),1186.567672778,0.0691304207,61.29406371118,3070.354348708,8242.074999331999,231.4608561038,0.0,19287.363956759997,3746.440708252,0.11806621552,0.00011200906,2.4132121562999997,58.81840524672,0.26611609461999997,821.14339962,2.33908581734,2.2437473773999996,1186.4985309140002,5.483659999999999e-06,887.3844495772,0.16415033342
Lenses Set 3 (1 Bildpaar),342.709731817,0.054404067980000005,12.05045475962,652.6739619732,1737.88801236,46.30324954986,0.0,3957.924493172,745.9458135128,0.023406696339999998,3.1423560000000006e-05,0.47501497268000004,11.7561932087,0.057104444500000004,163.9623948096,106.1968661308,0.4455232620199999,342.655321026,1.1921e-06,282.9258499624,0.05150561332
Lenses Set 3 (2 Bildpaare),600.2424096582001,0.05645384786,24.20916395188,1310.711553288,3419.4373401639996,92.5847049713,0.0,7870.961122084,1532.9492209940001,0.04485149384,5.688666e-05,0.9534561157199999,23.26259560586,0.11721162796,329.500248146,125.8722062586,0.8994080543599999,600.1859482765999,2.4795599999999997e-06,480.6738989828,0.08172726632
