,Total,Startup,File IO,Loop,Correction,crossSpot4,frankot_chellappa,crossSpot4 translation,crossSpot4 match,crossSpot4 interpolation,crossSpot4 second pass,crossSpot4 error correction
Detector Distortion (25 Bilder),2478.1562262059997,0.15045981406,21.93898897172,2451.0797212139996,1.47643094062,2448.517008448,0,111.46828999530001,163.241324282,1393.0737072,766.8424869537199,13.6114821911
Experiment 6 Lenses 200 (21 Bildpaare),3266.0698661819997,0.06386218069999999,43.433037519440006,3266.005961752,0.5554814338799999,3170.769898988,37.0077803612,21.7145346165,39.346755790719996,28.522641992599993,865.7045186518599,2215.4735845094
Experiment 6 Lenses 500 (11 Bildpaare),1676.1684946039998,0.06329984666,22.773579072959997,1676.105172252,0.31476297378,1626.115159176,19.439529466619998,11.438397598280002,20.51200418472,15.578734684,449.44803671872,1129.13421683368
Experiment 6 Lenses 1500 (14 Bildpaare),2105.218595172,0.06219444274,28.909224987039998,2105.15637431,0.38929915430000006,2041.7709631440005,24.625864028920002,14.646296596499997,26.16717333794,19.3482371807,563.96821446412,1417.63615784446
Lenses Set 1 (10 Bildpaare),1799.314656782,0.06101078985999999,123.41106305120002,1799.2536265860003,0.29539151188,1200.936505986,462.321181011,0.22478585242000002,4.8642483710999995,116.50636248600001,1042.20135121152,37.04748129846
Lenses Set 2 (5 Bildpaare),878.0277674197999,0.058282184599999995,61.70220165254,877.9694727899999,0.15506577492,578.7922507764,231.0943098546,0.11375284193999999,2.4389433384000005,60.05486464498,511.47439713486,4.6621312141199995
Lenses Set 3 (1 Bildpaar),279.9590301992,0.056776762,12.065884828540002,279.90224661839994,0.05319633482,220.246577406,46.20698404312,0.0262701988,0.47570738792,11.56908736228,102.32175827034,105.84301095016
Lenses Set 3 (2 Bildpaare),472.5053280352,0.05469970702,24.138645696639998,472.4506158352,0.07875828741999999,353.23056335440003,92.35191459656001,0.05083961486,0.9489799976200001,23.27457766534,202.15524911886,126.78158111561999
