,Total,Startup,File IO,Loop,Correction,crossSpot4,frankot_chellappa,crossSpot4 translation,crossSpot4 match,crossSpot4 interpolation,crossSpot4 second pass,crossSpot4 error correction
Detector Distortion (25 Bilder),2863.5775714899996,0.19629421236,21.75394015312,2836.712365388,1.3205484867,2834.4287321559996,0,107.14792909612001,161.9955955506,1434.409492732,1117.4584617599799,13.188796901720002
Experiment 6 Lenses 200 (21 Bildpaare),3737.757499646,0.06577477458,43.16322350502,3737.691686438,0.53153243062,3642.840114784,37.00548520088,21.47184023856,39.15718622208,27.84626035692,1353.08568420498,2201.27222910094
Experiment 6 Lenses 500 (11 Bildpaare),1940.7244720459998,0.058993387220000006,22.63312077522,1940.6654584880002,0.29206762314000007,1890.897966768,19.37675585746,11.46544451712,20.59417772294,14.37418699264,713.2407929898199,1131.2194071766198
Experiment 6 Lenses 1500 (14 Bildpaare),2440.2546435840004,0.06221494674,28.925522851940002,2440.19240365,0.3723642826,2376.881499148,24.59615154268,14.571576833720002,26.0314540863,18.85839104652,902.9816496373201,1414.4339653020802
Lenses Set 1 (10 Bildpaare),2404.562877848,0.05777745246,121.9518319606,2404.505081274,0.29272089004,1808.085534242,461.883240843,0.22596139906,4.845874738699999,120.2989593984,1647.02490782868,35.60839548111999
Lenses Set 2 (5 Bildpaare),1186.567672778,0.0691304207,61.29406371118,1186.4985309140002,0.16415581708,887.3844495772,231.4608561038,0.11817822458,2.4132121562999997,58.81840524672,821.4095157146199,4.582833194739999
Lenses Set 3 (1 Bildpaar),342.709731817,0.054404067980000005,12.05045475962,342.655321026,0.051506805419999996,282.9258499624,46.30324954986,0.0234381199,0.47501497268000004,11.7561932087,164.0194992541,106.64238939282001
Lenses Set 3 (2 Bildpaare),600.2424096582001,0.05645384786,24.20916395188,600.1859482765999,0.08172974588000001,480.6738989828,92.5847049713,0.0449083805,0.9534561157199999,23.26259560586,329.61745977396,126.77161431296
