,Total,Startup,File IO,norm_xcorr,nxcorr_disp,frankot_chellappa,g2s,cpCorr,cpCorr matching,crossSpot4 setup,crossSpot4 translation,crossSpot4 match,crossSpot4 interpolation,crossSpot4 second pass preperation,crossSpot4 second pass,crossSpot4 error correction,crossSpot4 finalizing,Loop,Filter,crossSpot4,Correction
detector distortion (25 Bilder),2473.8007197859997,0.16613259316,21.941130638119997,1710.3908704740002,4490.781505156,0,0,11109.40172342,1894.7805229639998,3.07345194818,106.547176075,163.4219150064,1482.3742651460002,0.36348686218,674.1052515028001,0.7253563404200001,13.085588645940001,2446.5808994299996,9.036064e-05,2443.9765597819996,1.5089606285000001
Experiment 6 Lenses 200 (21 Bildpaare),3138.3469689860003,0.06305603981999999,43.00827355384,1932.254253436,14155.9234051,37.02899169922,0.0,17676.059932199998,1926.1089946260004,0.25224699974000003,21.3360057354,39.42616209984,28.752171134959998,0.06603541373999999,736.1367444992,2217.1206592080002,0.54867930412,3138.283876896,2.75612e-05,3043.646741202,0.56182522772
Experiment 6 Lenses 500 (11 Bildpaare),1608.1475477239999,0.062028551099999996,22.64707822798,1023.2153883939998,7430.6519487860005,19.35306582452,0.0,9302.006115246,1019.39089017,0.13203229904,11.285997915280001,20.593327331559998,15.303798627840001,0.03528161048,385.3962832928,1125.3349293719998,0.2850540161,1608.0854969039997,1.4448180000000002e-05,1558.370925616,0.30893554688
Experiment 6 Lenses 1500 (14 Bildpaare),2045.8684473499998,0.06263260842,28.959510231000003,1300.1969087100001,9517.527501298,24.663719224940003,0.0,11898.2801105,1295.723046732,0.16736955642,14.5219508171,26.16891255378,19.52841835024,0.045156002040000004,494.0767499924,1427.4423299320001,0.36951928138,2045.80578704,1.9359599999999997e-05,1982.3257243140001,0.39347448348
Lenses Set 1 (10 Bildpaare),1612.5517560500002,0.0579358101,124.0556288718,2816.6858105179995,7870.8239109040005,462.81449284560006,0.0,19382.89984006,3633.061760474,0.2276091099,0.00023336412000000002,4.88285126688,121.31237511639999,0.52400956152,849.5514981748001,31.65551428794,4.61074380874,1612.49379964,1.28746e-05,1012.8569984441999,0.30437378884
Lenses Set 2 (5 Bildpaare),789.6850970268,0.058406829820000006,62.378399991980004,1474.360368346,3883.832084896,230.94628973,0.0,9624.620116854001,1821.739694594,0.11358566284,0.00011968612000000001,2.4412258625200005,60.164958477019994,0.27713332174,422.2210376262,2.36536707878,2.2922086238799997,789.6266758917999,6.34194e-06,489.9270153998,0.16649332046
Lenses Set 3 (1 Bildpaar),265.0483948232,0.0568072319,12.22556328772,321.7559981822,865.7191518784,46.33124842644,0.0,2048.130632212,389.47230401039997,0.02635622026,3.1185140000000003e-05,0.47389903068,11.97964277268,0.05851039886,84.74260301589999,107.2827630044,0.47613739967999996,264.99158139220003,1.1921e-06,205.0506280424,0.05296721458
Lenses Set 3 (2 Bildpaare),440.652760553,0.055706739420000005,24.8064234257,614.1855798244,1651.2501280300003,92.51860609054,0.0,3997.54926672,766.416864109,0.05203847886,6.060600000000001e-05,0.961258173,23.587109375,0.11685857772,169.2287520886,125.6005377766,0.9260011196200001,440.5970460416,2.52722e-06,320.49474444400005,0.08011927603999999
