,Total,Startup,File IO,norm_xcorr,nxcorr_disp,frankot_chellappa,g2s,cpCorr,cpCorr matching,crossSpot4 setup,crossSpot4 translation,crossSpot4 match,crossSpot4 interpolation,crossSpot4 second pass preperation,crossSpot4 second pass,crossSpot4 error correction,crossSpot4 finalizing,Loop,Filter,crossSpot4,Correction
detector distortion (25 Bilder),5498.148301171999,0.14860811234,21.74256386758,13350.354838279998,36444.867328320004,0,0,80193.67604456,14045.03288052,2.86781148908,103.95069274880002,162.2308048726,1392.307867576,0.33446879386,3793.853481244,0.7109033584799999,12.5613011837,5471.341017008,7.214544e-05,5469.061304569999,1.32548489568
Experiment 6 Lenses 200 (21 Bildpaare),7135.481771373999,0.06725463868,42.53032426834,8106.742504502001,96606.65300036,36.9671207905,0.0,113481.1369864,8164.529640006001,0.24227781298,21.17023062706,39.13457241059999,27.224169301979998,0.06569561958,4759.771104525999,2193.212135076,0.53141407966,7135.414479972,2.684594e-05,7041.358486603999,0.52661671636
Experiment 6 Lenses 500 (11 Bildpaare),3711.638293172,0.0639594078,21.95805401802,4292.9809772,50672.98474836,19.356531715380004,0.0,59444.57221374001,4327.583582736001,0.12871117589999997,11.22432246208,20.46048355102,14.087887525580001,0.033965301520000005,2493.921448086,1122.4614965919998,0.27928304674000004,3711.574312018,1.368524e-05,3662.601587964,0.28957252501999997
Experiment 6 Lenses 1500 (14 Bildpaare),4812.436883974,0.07447280886,28.32310404778,5902.029267882,65579.82695625999,24.615898895279997,0.0,77301.7180891,5950.754082490001,0.16361322404,14.71126542092,26.17179865838,17.764235544199998,0.04483842852,3243.24554076,1447.21238961,0.35366435054,4812.36238656,1.702308e-05,4749.671983052,0.3605823040000001
Lenses Set 1 (10 Bildpaare),6600.858018874,0.059735775000000005,121.75129380220001,25058.50333218,61228.547634020004,461.9819012166,0.0,138825.0358194,26690.88170938,0.21989593504,0.00021247862,4.84854869842,117.19236340520001,0.5169841289599999,5846.3384348380005,31.039798355099997,4.49433307646,6600.798260736,1.358986e-05,6004.735757780001,0.28373360636
Lenses Set 2 (5 Bildpaare),3323.2136823639994,0.0612646103,62.704866981500004,12598.97328134,31364.629392780003,230.98984127059998,0.0,70248.73012704,13467.3944891,0.11336288453999999,0.00010790824,2.40512433052,57.2168332577,0.27506690026,2958.458902836,2.35302934646,2.25240135194,3323.152405978,6.00816e-06,3023.1218749040004,0.15377969742
Lenses Set 3 (1 Bildpaar),759.2988369938,0.05633721352,12.16983494758,2547.630017806,6179.281597423999,46.277051353459996,0.0,13914.482449119998,2690.5975942140003,0.02368483544,3.1185140000000003e-05,0.47266559602,11.42652397156,0.058526754380000004,582.0025950431999,104.96688876160002,0.44780988694,759.2424928664001,1.66894e-06,699.4094562056,0.05285820962
Lenses Set 3 (2 Bildpaare),1440.4791350360001,0.056923627860000006,24.176070022559998,5053.996372416,12366.402239840001,92.61423358918,0.0,27923.4885296,5344.288954829999,0.048231792460000006,5.745886e-05,0.9546897411199999,23.13003520966,0.11603741646000001,1170.409049844,125.323802376,0.8960666179600001,1440.42220373,2.43186e-06,1320.899117896,0.08070750235999999
