,Total,Startup,File IO,Loop,Correction,crossSpot4,frankot_chellappa,crossSpot4 translation,crossSpot4 match,crossSpot4 interpolation,crossSpot4 second pass,crossSpot4 error correction
Detector Distortion (25 Bilder),5498.148301171999,0.14860811234,21.74256386758,5471.341017008,1.32555704112,5469.061304569999,0,106.81850423788002,162.2308048726,1392.307867576,3794.18795003786,13.272204542179999
Experiment 6 Lenses 200 (21 Bildpaare),7135.481771373999,0.06725463868,42.53032426834,7135.414479972,0.5266435623,7041.358486603999,36.9671207905,21.41250844004,39.13457241059999,27.224169301979998,4759.836800145579,2193.74354915566
Experiment 6 Lenses 500 (11 Bildpaare),3711.638293172,0.0639594078,21.95805401802,3711.574312018,0.28958621026,3662.601587964,19.356531715380004,11.35303363798,20.46048355102,14.087887525580001,2493.95541338752,1122.7407796387397
Experiment 6 Lenses 1500 (14 Bildpaare),4812.436883974,0.07447280886,28.32310404778,4812.36238656,0.3605993270800001,4749.671983052,24.615898895279997,14.87487864496,26.17179865838,17.764235544199998,3243.29037918852,1447.5660539605399
Lenses Set 1 (10 Bildpaare),6600.858018874,0.059735775000000005,121.75129380220001,6600.798260736,0.28374719622,6004.735757780001,461.9819012166,0.22010841366,4.84854869842,117.19236340520001,5846.85541896696,35.53413143156
Lenses Set 2 (5 Bildpaare),3323.2136823639994,0.0612646103,62.704866981500004,3323.152405978,0.15378570558,3023.1218749040004,230.98984127059998,0.11347079277999998,2.40512433052,57.2168332577,2958.73396973626,4.6054306984
Lenses Set 3 (1 Bildpaar),759.2988369938,0.05633721352,12.16983494758,759.2424928664001,0.05285987856,699.4094562056,46.277051353459996,0.02371602058,0.47266559602,11.42652397156,582.0611217975799,105.41469864854002
Lenses Set 3 (2 Bildpaare),1440.4791350360001,0.056923627860000006,24.176070022559998,1440.42220373,0.08070993421999999,1320.899117896,92.61423358918,0.048289251320000004,0.9546897411199999,23.13003520966,1170.52508726046,126.21986899396
