,Total,Startup,File IO,norm_xcorr,nxcorr_disp,frankot_chellappa,g2s,cpCorr,cpCorr matching,crossSpot4 setup,crossSpot4 translation,crossSpot4 match,crossSpot4 interpolation,crossSpot4 second pass preperation,crossSpot4 second pass,crossSpot4 error correction,crossSpot4 finalizing,Loop,Filter,crossSpot4,Correction
detector distortion (25 Bilder),2272.82232742,0.15726580618000002,21.822639131580004,1629.886986396,3627.0372786979997,0,0,8233.483756924,1577.020918656,3.0732230663199998,106.09029412279999,162.56184329980002,1442.717651796,0.36335391996,514.5995146273999,0.7259985447,13.0212817192,2245.931266358,3.581048e-05,2243.403711082,1.4747086048000002
Experiment 6 Lenses 200 (21 Bildpaare),2865.848563956,0.06613464354000001,42.95330052376,1447.377803516,10410.33092686,37.092823553079995,0.0,12883.585162020001,1427.108789348,0.25341529846,21.329018831219997,39.01364583968,28.11414885522,0.06859912873999999,479.4723265648,2202.2046940339997,0.54336180684,2865.78238988,3.023146e-05,2771.0073267,0.58110961914
Experiment 6 Lenses 500 (11 Bildpaare),1500.776721384,0.05928239822,22.572466516500004,759.4418573856,5565.709508276001,19.3786054611,0.0,6875.809634018,749.152517891,0.13392605782,11.422230005260001,20.41510787012,15.189933729180002,0.03513069152,258.3659730914,1145.193022538,0.28232884406,1500.717417288,1.4638919999999998e-05,1451.0418581480003,0.3140138626
Experiment 6 Lenses 1500 (14 Bildpaare),1849.102026986,0.061644554139999995,29.00900025368,959.2271650314,6860.759032106,24.684681987759998,0.0,8500.921259784,945.5401242258,0.16912074092,14.405729293820002,26.01077604294,19.13426671026,0.04536509514,318.3123928072,1407.080851412,0.36039547922,1849.040356636,1.6355500000000003e-05,1785.524280024,0.38738574979999996
Lenses Set 1 (10 Bildpaare),1339.581002044,0.058763933180000005,127.46189227100001,2619.92107048,5710.6578288539995,462.23807549480006,0.0,13021.39113362,2773.095215988,0.23006572722000002,0.00025339127999999997,4.8531706333,117.32657485019999,0.54958276748,578.0565237522,31.42103247644,4.6064719677,1339.522207738,1.2683899999999999e-05,737.1350839614,0.30811562538000004
Lenses Set 2 (5 Bildpaare),661.2507098198,0.07319536210000001,62.49176044464,1311.836896658,2877.250862074,230.928749514,0.0,6589.750083972,1390.784797858,0.11479258537999999,0.00012722018,2.42859902382,60.92799501419999,0.28174457548,292.8404326438,2.36409959792,2.29800033566,661.1775007250001,7.34328e-06,361.3052472592,0.17176017762
Lenses Set 3 (1 Bildpaar),234.2841604232,0.05658955576,12.09908242226,280.8209604264,636.0732035635999,46.2751803875,0.0,1401.470723582,296.6372980596,0.026252079,3.075598e-05,0.47217702866,11.70658273696,0.0581548214,57.4174086571,104.34166970239998,0.4512646675,234.22756242760002,7.629600000000001e-07,174.4831719876,0.052885580040000005
Lenses Set 3 (2 Bildpaare),387.9553954602,0.0551634312,24.1873811245,551.4791330814,1231.774103736,92.51264920234,0.0,2734.790744544,581.0643760682001,0.05226945878,5.769732e-05,0.9548136711199999,24.261384058,0.11620888711999999,115.1318908212,127.0348351956,0.9172348976,387.9002240182,2.4318599999999997e-06,268.490107727,0.07976408003999999
