,Total,Startup,File IO,norm_xcorr,nxcorr_disp,frankot_chellappa,g2s,cpCorr,cpCorr matching,crossSpot4 setup,crossSpot4 translation,crossSpot4 match,crossSpot4 interpolation,crossSpot4 second pass preperation,crossSpot4 second pass,crossSpot4 error correction,crossSpot4 finalizing,Loop,Filter,crossSpot4,Correction
detector distortion (25 Bilder),9144.282785555999,0.15409331322,21.785236120240004,25960.517105240004,72936.69221357998,0,0,155655.5187282,27024.88455256,2.86394419668,102.65285148619998,161.82534046159998,1416.527728796,0.3333480835,7417.338441564,0.7060823917400001,12.615686512,9117.353944734,3.128052e-05,9115.089770986002,1.2910397052799998
Experiment 6 Lenses 200 (21 Bildpaare),11829.342439280003,0.06500930784,42.05117588042,20673.096309819997,182873.35129820002,36.969051504140005,0.0,224245.15491840002,20987.1563693,0.24188733101999998,21.20710182192,39.13271279336,27.32667021752,0.0652665615,9451.57249203,2195.788390828,0.53201389312,11829.27739458,2.670288e-05,11735.87413638,0.46791000368
Experiment 6 Lenses 500 (11 Bildpaare),6215.982305385999,0.06205911636,22.00252351762,10679.111638454,97563.29951060002,19.33763079644,0.0,118362.927818,10851.55081448,0.13036704061999999,11.330193138119999,20.45628414154,14.35016603468,0.0342827797,4988.962654972001,1131.4207319719999,0.2758482933,6215.920225190001,1.45912e-05,6166.964573719999,0.26787176132
Experiment 6 Lenses 1500 (14 Bildpaare),7857.711872578,0.058950090420000004,28.1243912697,13993.26927982,122116.79364799999,24.67815599442,0.0,149953.672833,14210.520300759998,0.16358366013999998,14.409471178039999,26.020720577240002,18.07828850746,0.043899250019999995,6322.088276101999,1414.099002408,0.35221638678,7857.652897596,1.654624e-05,7795.260595319999,0.32859768866
Lenses Set 1 (10 Bildpaare),12569.582761380001,0.061725664140000004,121.8789744852,49798.948847739994,125997.79837499998,462.28790211680007,0.0,280367.8920736,52205.85864512,0.22368550298,0.00021848678000000002,4.843960523600001,118.0858526708,0.5165414333399999,11813.514366219999,31.278076219539997,4.53040733336,12569.521016499999,1.1110319999999999e-05,11973.07571612,0.26310253144
Lenses Set 2 (5 Bildpaare),6206.115449956001,0.059815454479999995,61.322779607760005,25640.613912959998,61109.614601420006,231.61079964620004,0.0,138592.2459148,27275.694328980004,0.11198062896000001,0.00010852814000000001,2.40120096208,58.31348996162001,0.27617011069999997,5841.16453538,2.30282917024,2.2631660461400003,6206.0556221,5.5313200000000004e-06,5906.879922724001,0.14942612648
Lenses Set 3 (1 Bildpaar),1321.764915084,0.05553250312,12.07497034074,5904.693192479999,11383.000404460001,46.24526815416,0.0,27271.23717194,6346.605300426,0.02543120384,2.98023e-05,0.46942844389999994,11.860261535640001,0.05813126562,1145.1044047359999,104.0394432544,0.45145220753999993,1321.70937095,1.0013800000000001e-06,1262.01865878,0.05266981126
Lenses Set 3 (2 Bildpaare),2599.903281402,0.05629520416,24.03389725682,10552.632999618,24264.079694940003,92.67483062742001,0.0,55398.04117388,11071.81989244,0.050323200219999996,5.5026999999999993e-05,0.9506111621600001,22.901255655280004,0.11545119284000001,2329.3663177020003,126.1353565694,0.89759659768,2599.846979424,2.43186e-06,2480.4384692659996,0.07943158149999999
