,Total,Startup,File IO,norm_xcorr,nxcorr_disp,frankot_chellappa,g2s,cpCorr,cpCorr matching,crossSpot4 setup,crossSpot4 translation,crossSpot4 match,crossSpot4 interpolation,crossSpot4 second pass preperation,crossSpot4 second pass,crossSpot4 error correction,crossSpot4 finalizing,Loop,Filter,crossSpot4,Correction
detector distortion (25 Bilder),2402.641240216,0.16878776550000002,22.02053194046,1595.7123882780002,3914.375900458,0,0,9260.345305774,1669.2371186239998,3.04455070494,108.067543411,163.20204992299998,1501.6604212759999,0.36531410218,582.546064186,0.72366781234,13.04327244758,2375.4527377120003,3.30448e-05,2372.906215714,1.4987873554
Experiment 6 Lenses 200 (21 Bildpaare),3005.254231406,0.06313891412,42.89080429076,1648.40238905,11857.260462119999,36.95241599084,0.0,14781.4852974,1634.312927676,0.24783849715999998,21.1558016777,39.17463121414001,28.129734134659998,0.06657299995999999,628.447500324,2192.8482326040003,0.54674105644,3005.191052962,2.784732e-05,2910.62506118,0.56389021876
Experiment 6 Lenses 500 (11 Bildpaare),1560.0618160239999,0.060192632680000004,22.49530644416,854.1502647878,6197.647532747999,19.368310308479998,0.0,7717.420461226,846.9341200828,0.13263626099999998,11.280278491979999,20.51053910256,15.392929697060001,0.035391330719999996,331.915104103,1130.918365716,0.28875508308,1560.001601028,1.487732e-05,1510.478282546,0.3090988159
Experiment 6 Lenses 1500 (14 Bildpaare),1957.031650734,0.06200437548,28.6446639538,1086.85080571,7845.803396512,24.6558610916,0.0,9769.510175372,1076.906641006,0.16482634546,14.36235485076,26.12361125946,19.007784605020003,0.04518303872,422.18581442820005,1411.599009132,0.36274256706,1956.9696156960003,1.6689300000000003e-05,1893.85723405,0.38133244514000003
Lenses Set 1 (10 Bildpaare),1464.09611416,0.06154904365999999,125.634471798,2661.3979369159997,6554.812647626,462.52973227499996,0.0,15787.318517479998,3119.7029068459997,0.22999534606,0.00024018286,4.911584854119999,118.49557938580001,0.5408368110599999,702.6264101028,31.618179082879998,4.64607510566,1464.0345440380001,1.3685219999999999e-05,863.1648584842,0.29999952316
Lenses Set 2 (5 Bildpaare),715.8496147634,0.0597735405,62.68506293296,1322.735456704,3253.9740969160002,231.09794278159998,0.0,7799.6258944500005,1548.473315572,0.11301984788,0.00012240409999999998,2.4458389282399997,59.20659694671999,0.28384709358000004,348.819089365,2.38833026888,2.3026154041,715.7898291588001,5.9604600000000005e-06,415.6105413436,0.1675028801
Lenses Set 3 (1 Bildpaar),246.4169322492,0.05343351364,12.336013793940001,284.0337739468,721.4033725262,46.2244113922,0.0,1637.5300848480001,322.391309452,0.025630712519999998,2.92778e-05,0.4727743149,11.85737309456,0.057035970680000006,68.24583439826002,105.29721417440001,0.46655120848000003,246.36348543179997,1.14442e-06,186.430873394,0.05121240614
Lenses Set 3 (2 Bildpaare),410.27379603379995,0.05522899628,24.46592583656,552.2929231644,1372.3067783820002,92.24463758468,0.0,3227.416725064,641.2196972846,0.05081825256,5.598068000000001e-05,0.9506908416600002,23.170640754699996,0.11510777472,138.98101964,126.54057703000001,0.94214897156,410.21855773920004,2.19344e-06,290.7735648154,0.07893300056
