,Total,Startup,File IO,Loop,Correction,crossSpot4,frankot_chellappa,crossSpot4 translation,crossSpot4 match,crossSpot4 interpolation,crossSpot4 second pass,crossSpot4 error correction
Detector Distortion (25 Bilder),2539.738313198,0.17111358642000002,21.67272906302,2513.0152664179996,1.2984178065999998,2510.7582511419996,0,106.88003110904,161.7849986552,1430.133331586,798.4398570538,13.295122194280001
Experiment 6 Lenses 200 (21 Bildpaare),3292.367799186,0.06355338095999999,43.58809518814,3292.3042090440003,0.5467968940800001,3197.0441941259996,36.94796309472,21.457723999040002,39.341500902199996,28.43482146262,910.80752525352,2196.99533409852
Experiment 6 Lenses 500 (11 Bildpaare),1701.6705573580002,0.06239738464,22.728277349480003,1701.608137322,0.30533947946,1651.7902564059998,19.35405931474,11.35527219774,20.49442439078,15.02378177642,481.61002616892,1123.3026728616999
Experiment 6 Lenses 1500 (14 Bildpaare),2152.639797926,0.06257758142,28.971679019919996,2152.57719364,0.3737360477399999,2089.175150824,24.62064766886,14.62754740714,26.078466415399998,18.63917331696,614.9251423359,1414.90029315762
Lenses Set 1 (10 Bildpaare),1858.840093566,0.06078338624,121.9601760386,1858.7792883400002,0.28606224057999996,1262.6328381540002,461.7480032920001,0.22045979500000001,4.83254847526,116.8842414378,1105.0842819699199,35.52732744216
Lenses Set 2 (5 Bildpaare),918.4499365806001,0.05953083038,61.299158620819995,918.3903937340001,0.16032443045999997,619.6645851138,231.02680463800002,0.11480731967999999,2.41479148864,56.82620534898,555.67751426692,4.5866707801999995
Lenses Set 3 (1 Bildpaar),287.45505919460004,0.05735764502,12.04543209076,287.3976917744,0.05304975514,227.70206360820004,46.256565189359996,0.02513818738,0.4758719921,11.56614460944,110.33556118000001,105.28855919854
Lenses Set 3 (2 Bildpaare),492.96827116019995,0.05579199792,24.328426027280003,492.9124706268,0.0811561584,373.6349458694,92.23106598852,0.049446153640000004,0.95369210244,22.80893592834,222.66718621238,127.13453559874
